playerID,yearid,votedBy,ballots,needed,votes,inducted,category,Batter,Pitcher
griffcl01,1939,BBWAA,274,206,20,N,Pioneer/Executive,22,21
terrybi01,1939,BBWAA,274,206,16,N,Player,14,0
vanceda01,1939,BBWAA,274,206,15,N,Player,18,18
klingjo01,1939,BBWAA,274,206,14,N,Player,14,0
ruckena01,1939,BBWAA,274,206,13,N,Player,10,10
tinkejo01,1939,BBWAA,274,206,12,N,Player,15,0
adamsba01,1939,BBWAA,274,206,11,N,Player,19,19
traynpi01,1939,BBWAA,274,206,10,N,Player,17,0
heilmha01,1939,BBWAA,274,206,8,N,Player,17,0
roushed01,1939,BBWAA,274,206,8,N,Player,19,0
careyma01,1939,BBWAA,274,206,7,N,Player,21,0
dinnebi01,1939,BBWAA,274,206,7,N,Player,13,13
nichoki01,1939,BBWAA,274,206,7,N,Player,16,16
altroni01,1939,BBWAA,274,206,6,N,Player,21,18
chesbja01,1939,BBWAA,274,206,6,N,Player,12,12
crawfsa01,1939,BBWAA,274,206,6,N,Player,19,0
lewisdu01,1939,BBWAA,274,206,6,N,Player,11,1
rusieam01,1939,BBWAA,274,206,6,N,Player,10,10
stengca01,1939,BBWAA,274,206,6,N,Manager,15,0
donlimi01,1939,BBWAA,274,206,5,N,Player,14,2
hoopeha01,1939,BBWAA,274,206,5,N,Player,17,1
kerrdi01,1939,BBWAA,274,206,5,N,Player,4,4
wallabo01,1939,BBWAA,274,206,5,N,Player,25,4
gowdyha01,1939,BBWAA,274,206,4,N,Player,19,0
marquru01,1939,BBWAA,274,206,4,N,Player,19,19
mcinnst01,1939,BBWAA,274,206,4,N,Player,19,0
wheatza01,1939,BBWAA,274,206,4,N,Player,19,0
archeji01,1939,BBWAA,274,206,3,N,Player,14,0
combsea01,1939,BBWAA,274,206,3,N,Player,12,0
faberre01,1939,BBWAA,274,206,3,N,Player,20,20
mccarjo99,1939,BBWAA,274,206,3,N,Manager,0,0
tennefr02,1939,BBWAA,274,206,3,N,Player,17,1
bushdo01,1939,BBWAA,274,206,2,N,Player,17,0
carribi02,1939,BBWAA,274,206,2,N,Player,10,0
cravaga01,1939,BBWAA,274,206,2,N,Player,12,0
crigelo01,1939,BBWAA,274,206,2,N,Player,16,0
donovbi01,1939,BBWAA,274,206,2,N,Player,18,18
ewingbu01,1939,BBWAA,274,206,2,N,Player,18,6
granted01,1939,BBWAA,274,206,2,N,Player,11,0
loberha01,1939,BBWAA,274,206,2,N,Player,14,0
schreos01,1939,BBWAA,274,206,2,N,Player,15,0
woodjo02,1939,BBWAA,274,206,2,N,Player,14,11
bancrda01,1939,BBWAA,274,206,1,N,Player,17,0
barryja01,1939,BBWAA,274,206,1,N,Player,12,0
bergema01,1939,BBWAA,274,206,1,N,Player,4,0
bradlbi01,1939,BBWAA,274,206,1,N,Player,14,1
burnsge01,1939,BBWAA,274,206,1,N,Player,15,0
coopewi01,1939,BBWAA,274,206,1,N,Player,16,16
crossla01,1939,BBWAA,274,206,1,N,Player,23,0
daubeja01,1939,BBWAA,274,206,1,N,Player,15,0
doylela01,1939,BBWAA,274,206,1,N,Player,15,0
fletcar01,1939,BBWAA,274,206,1,N,Player,14,0
frasech01,1939,BBWAA,274,206,1,N,Player,15,15
gleaski01,1939,BBWAA,274,206,1,N,Player,23,9
grimebu01,1939,BBWAA,274,206,1,N,Player,23,23
grimmch01,1939,BBWAA,274,206,1,N,Player,20,0
hahnno01,1939,BBWAA,274,206,1,N,Player,8,8
